基金代码,基金名称,指数代码,指数名称,上市日期,基金类型
510900.SH,易方达恒生国企(QDII-ETF),HSCEI.HI,恒生中国企业指数,2012-10-22,QDII
511010.SH,国泰上证5年期国债ETF,000140.CSI,上证5年期国债指数,2013-03-25,债券
511020.SH,平安5-10年期国债活跃券ETF,931018.CSI,中证5-10年期国债活跃券指数,2019-02-22,债券
511030.SH,平安中高等级公司债利差因子ETF,CBC00703.OTH,中债-中高等级公司债利差因子指数(全价),2019-03-22,债券
511060.SH,海富通上证5年期地方政府债ETF,950045.CSI,上证5年期地方政府债指数,2019-12-12,债券
511090.SH,鹏扬中债-30年期国债ETF,CBA21801.OTH,中债-30年期国债指数,2023-06-13,债券
511100.SH,华夏上证基准做市国债ETF,950243.CSI,上证基准做市国债指数,2023-12-25,债券
511130.SH,博时上证30年期国债ETF,950175.CSI,上证30年期国债指数,2024-03-28,债券
511180.SH,海富通上证投资级可转债ETF,950041.CSI,上证投资级可转债及可交换债券指数,2020-08-26,债券
511220.SH,海富通上证城投债ETF,H11098.CSI,上证城投债指数,2014-12-16,债券
511260.SH,上证10年期国债ETF,H01077.CSI,上证10年期国债指数(净价),2017-08-24,债券
511270.SH,海富通上证10年期地方政府债ETF,950109.CSI,上证10年期地方政府债指数,2018-11-22,债券
511360.SH,海富通中证短融ETF,H11014.CSI,中证短融指数,2020-09-25,债券
511380.SH,博时可转债ETF,931078.CSI,中证可转债及可交换债券指数,2020-04-07,债券
511520.SH,富国中债7-10年政策性金融债ETF,CBA08203.OTH,中债-7-10年政策性金融债指数(全价),2022-10-25,债券
511580.SH,招商中证国债及政策性金融债0-3年ETF,932200.CSI,中证国债及政策性金融债0-3年指数,2022-12-14,债券
511880.SH,银华日利,,,2013-04-18,债券
512010.SH,易方达沪深300医药ETF,000913.SH,沪深300医药卫生指数,2013-10-28,行业
512040.SH,富国中证价值ETF,931052.CSI,中证国信价值指数,2018-11-29,宽基
512050.SH,华夏中证A500ETF,000510.SH,中证A500指数,2024-11-15,宽基
512070.SH,易方达沪深300非银ETF,H30035.CSI,沪深300非银行金融指数,2014-07-18,行业
512090.SH,易方达MSCI中国A股国际通ETF,716567L.MI,MSCI中国A股国际通(人民币)指数(本币),2018-06-01,行业
512100.SH,南方中证1000ETF,000852.SH,中证1000指数,2016-11-04,宽基
512120.SH,华安中证细分医药ETF,000814.SH,中证细分医药产业主题指数,2014-01-06,行业
512170.SH,华宝中证医疗ETF,399989.SZ,中证医疗指数,2019-06-17,行业
512200.SH,南方中证全指房地产ETF,931775.CSI,中证全指房地产指数,2017-09-25,行业
512220.SH,景顺长城中证科技传媒通信150ETF,H30318.CSI,中证科技传媒通信150指数,2014-08-19,行业
512260.SH,华安中证500低波ETF,930782.CSI,中证500行业中性低波动指数,2019-01-11,行业
512290.SH,国泰中证生物医药ETF,930726.CSI,中证生物医药指数,2019-05-20,行业
512330.SH,南方中证500信息技术ETF,H30257.CSI,中证500信息技术指数,2015-07-20,行业
512400.SH,南方中证申万有色金属ETF,000819.SH,中证申万有色金属指数,2017-09-01,行业
512480.SH,国联安半导体ETF,H30184.CSI,中证全指半导体产品与设备指数,2019-06-12,行业
512580.SH,广发中证环保ETF,000827.SH,中证环保产业指数,2017-02-28,行业
512660.SH,国泰中证军工ETF,399967.SZ,中证军工指数,2016-08-08,行业
512670.SH,国防ETF,399973.SZ,中证国防指数,2019-08-01,行业
512690.SH,酒ETF,399987.SZ,中证酒指数,2019-05-06,行业
512710.SH,富国中证军工龙头ETF,931066.CSI,中证军工龙头指数,2019-08-26,行业
512750.SH,嘉实基本面50ETF,000925.CSI,中证锐联基本面50指数,2019-07-05,行业
512760.SH,国泰CES半导体芯片行业ETF,990001.OTH,中华交易服务半导体芯片行业指数,2019-06-12,行业
512800.SH,华宝中证银行ETF,399986.SZ,中证银行指数,2017-08-03,行业
512880.SH,国泰中证全指证券公司ETF,399975.SZ,中证全指证券公司指数,2016-08-08,行业
512890.SH,红利低波,H30269.CSI,中证红利低波动指数,2019-01-18,行业
512910.SH,广发中证A100ETF,000903.SH,中证A100指数,2019-07-01,宽基
512980.SH,广发中证传媒ETF,399971.SZ,中证传媒指数,2018-01-19,行业
513030.SH,华安德国(DAX)ETF,GDAXI.GY,德国法兰克福DAX指数,2014-09-05,QDII
513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,2017-01-18,QDII
513060.SH,博时恒生医疗保健(QDII-ETF),HSHCI.HI,恒生医疗保健指数,2021-03-29,QDII
513080.SH,华安法国CAC40ETF,CAC40.FP,巴黎CAC40指数,2020-06-12,QDII
513100.SH,国泰纳斯达克100(QDII-ETF),NDX.NASDAQ,纳斯达克100指数,2013-05-15,QDII
513180.SH,华夏恒生科技ETF(QDII),HSTECH.HI,恒生科技指数,2021-05-25,QDII
513290.SH,汇添富纳斯达克生物科技ETF,NBI.OTH,纳斯达克生物技术指数,2022-08-29,QDII
513330.SH,华夏恒生互联网科技业ETF(QDII),HSIII.HI,恒生互联网科技业指数,2021-02-08,QDII
513400.SH,道琼斯ETF,DJI.UN,道琼斯工业平均指数,2024-02-02,QDII
513500.SH,博时标普500ETF,SPTR500N.OTH,标普500净总收益指数,2014-01-15,QDII
513520.SH,华夏野村日经225ETF,N225.JT,日经225指数,2019-06-25,QDII
513730.SH,东南亚,ASIATECP.OTH,新交所泛东南亚科技指数,2023-12-01,QDII
513800.SH,南方顶峰TOPIXETF(QDII),TPX.JT,东证股价指数,2019-06-25,QDII
515000.SH,华宝中证科技龙头ETF,931087.CSI,中证科技龙头指数,2019-08-16,行业
515030.SH,华夏中证新能源汽车ETF,399976.SZ,中证新能源汽车指数,2020-03-04,行业
515050.SH,华夏中证5G通信主题ETF,931079.CSI,中证5G通信主题指数,2019-10-16,行业
515080.SH,招商中证红利ETF,000922.CSI,中证红利指数,2019-12-27,行业
515100.SH,景顺长城中证红利低波动100ETF,930955.CSI,中证红利低波动100指数,2020-07-03,行业
515110.SH,易方达中证国企一带一路ETF,000859.CSI,中证国企一带一路指数,2020-01-15,行业
515170.SH,华夏中证细分食品饮料产业主题ETF,000815.CSI,中证细分食品饮料产业主题指数,2021-01-13,行业
515200.SH,申万菱信中证研发创新100交易型开放式指数,931159.CSI,中证研发创新100指数,2019-11-15,行业
515210.SH,国泰中证钢铁ETF,930606.CSI,中证钢铁指数,2020-03-02,行业
515220.SH,国泰中证煤炭ETF,399998.SZ,中证煤炭指数,2020-03-02,行业
515230.SH,国泰中证全指软件ETF,H30202.CSI,中证全指软件指数,2021-03-02,行业
515250.SH,富国中证智能汽车主题ETF,930721.CSI,中证智能汽车主题指数,2021-01-08,行业
515260.SH,华宝中证电子50ETF,931461.CSI,中证电子50指数,2020-07-31,行业
515400.SH,富国中证大数据产业ETF,930902.CSI,中证大数据产业指数,2021-01-20,行业
515580.SH,华泰柏瑞中证科技100ETF,931187.CSI,中证科技100指数,2019-10-28,行业
515600.SH,广发中证央企创新驱动ETF,000861.CSI,中证央企创新驱动指数,2019-12-18,行业
515630.SH,保险证券,399966.SZ,中证800证券保险指数,2020-04-03,行业
515650.SH,富国中证消费50ETF,931139.CSI,中证消费50指数,2019-11-11,行业
515700.SH,平安中证新能源汽车产业ETF,930997.CSI,中证新能源汽车产业指数,2020-02-10,行业
515750.SH,富国中证科技50策略ETF,931186.CSI,中证科技50策略指数,2019-12-06,行业
515790.SH,光伏ETF,931151.CSI,中证光伏产业指数,2020-12-18,行业
515800.SH,添富中证800ETF,000906.SH,中证800指数,2019-12-16,宽基
515860.SH,嘉实新兴科技100ETF,931165.CSI,中证新兴科技100策略指数,2019-10-22,行业
515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证全指通信设备指数,2019-09-06,行业
515920.SH,博时智能消费ETF,930648.CSI,中证智能消费主题指数,2021-01-20,行业
515950.SH,富国中证医药50ETF,931140.CSI,中证医药50指数,2020-04-01,行业
515980.SH,华富中证人工智能产业ETF,931071.CSI,中证人工智能产业指数,2020-02-10,行业
516110.SH,国泰中证800汽车与零部件ETF,H30015.CSI,中证800汽车与零部件指数,2021-05-07,行业
516150.SH,嘉实中证稀土产业ETF,930598.CSI,中证稀土产业指数,2021-03-17,行业
516160.SH,南方中证新能源ETF,399808.SZ,中证新能源指数,2021-02-04,行业
516510.SH,易方达中证云计算与大数据主题ETF,930851.CSI,中证云计算与大数据主题指数,2021-04-07,行业
516590.SH,易方达中证智能电动汽车ETF,H11052.CSI,中证智能电动汽车指数,2021-05-12,行业
516620.SH,国泰中证影视主题ETF,930781.CSI,中证影视主题指数,2021-11-05,行业
516640.SH,富国中证芯片产业ETF,H30007.CSI,中证芯片产业指数,2021-08-27,行业
